Delta
JQ065047
MT138109
NC_016995
JQ065044
NC_011547
NC_011550
MT138104
NC_016993
MT138106
MG812377
MH532440
MG812376
LC364342
NC_011549
MW349841
MG812378
MT138108
MN025260
MF642323
LC364345
MF642325
MK625641
KT336560
MF642324
KY513725
MZ802955
MH025764
NC_016992
